in s,C2 in V
-2.576552E-04,1.82129E+00
-2.576520E-04,1.84082E+00
-2.576488E-04,1.82129E+00
-2.576456E-04,1.82129E+00
-2.576424E-04,1.82129E+00
-2.576392E-04,1.81152E+00
-2.576360E-04,1.81152E+00
-2.576328E-04,1.86035E+00
-2.576296E-04,1.83105E+00
-2.576264E-04,1.81152E+00
-2.576232E-04,1.85059E+00
-2.576200E-04,1.80176E+00
-2.576168E-04,1.84082E+00
-2.576136E-04,1.85059E+00
-2.576104E-04,1.79199E+00
-2.576072E-04,1.85059E+00
-2.576040E-04,1.84082E+00
-2.576008E-04,1.81152E+00
-2.575976E-04,1.83105E+00
-2.575944E-04,1.83105E+00
-2.575912E-04,1.80176E+00
-2.575880E-04,1.80176E+00
-2.575848E-04,1.85059E+00
-2.575816E-04,1.84082E+00
-2.575784E-04,1.84082E+00
-2.575752E-04,1.83105E+00
-2.575720E-04,1.79199E+00
-2.575688E-04,1.84082E+00
-2.575656E-04,1.83105E+00
-2.575624E-04,1.84082E+00
-2.575592E-04,1.83105E+00
-2.575560E-04,1.83105E+00
-2.575528E-04,1.85059E+00
-2.575496E-04,1.83105E+00
-2.575464E-04,1.83105E+00
-2.575432E-04,1.80176E+00
-2.575400E-04,1.82129E+00
-2.575368E-04,1.84082E+00
-2.575336E-04,1.82129E+00
-2.575304E-04,1.82129E+00
-2.575272E-04,1.79199E+00
-2.575240E-04,1.82129E+00
-2.575208E-04,1.82129E+00
-2.575176E-04,1.79199E+00
-2.575144E-04,1.82129E+00
-2.575112E-04,1.85059E+00
-2.575080E-04,1.79199E+00
-2.575048E-04,1.83105E+00
-2.575016E-04,1.79199E+00
-2.574984E-04,1.85059E+00
-2.574952E-04,1.83105E+00
-2.574920E-04,1.85059E+00
-2.574888E-04,1.81152E+00
-2.574856E-04,1.80176E+00
-2.574824E-04,1.81152E+00
-2.574792E-04,1.85059E+00
-2.574760E-04,1.80176E+00
-2.574728E-04,1.82129E+00
-2.574696E-04,1.79199E+00
-2.574664E-04,1.84082E+00
-2.574632E-04,1.79199E+00
-2.574600E-04,1.83105E+00
-2.574568E-04,1.83105E+00
-2.574536E-04,1.84082E+00
-2.574504E-04,1.79199E+00
-2.574472E-04,1.83105E+00
-2.574440E-04,1.85059E+00
-2.574408E-04,1.82129E+00
-2.574376E-04,1.84082E+00
-2.574344E-04,1.83105E+00
-2.574312E-04,1.80176E+00
-2.574280E-04,1.82129E+00
-2.574248E-04,1.83105E+00
-2.574216E-04,1.86035E+00
-2.574184E-04,1.80176E+00
-2.574152E-04,1.83105E+00
-2.574120E-04,1.79199E+00
-2.574088E-04,1.84082E+00
-2.574056E-04,1.79199E+00
-2.574024E-04,1.80176E+00
-2.573992E-04,1.80176E+00
-2.573960E-04,1.79199E+00
-2.573928E-04,1.80176E+00
-2.573896E-04,1.84082E+00
-2.573864E-04,1.84082E+00
-2.573832E-04,1.82129E+00
-2.573800E-04,1.84082E+00
-2.573768E-04,1.80176E+00
-2.573736E-04,1.79199E+00
-2.573704E-04,1.82129E+00
-2.573672E-04,1.82129E+00
-2.573640E-04,1.83105E+00
-2.573608E-04,1.83105E+00
-2.573576E-04,1.84082E+00
-2.573544E-04,1.83105E+00
-2.573512E-04,1.83105E+00
-2.573480E-04,1.83105E+00
-2.573448E-04,1.83105E+00
-2.573416E-04,1.81152E+00
-2.573384E-04,1.83105E+00
-2.573352E-04,1.82129E+00
-2.573320E-04,1.81152E+00
-2.573288E-04,1.83105E+00
-2.573256E-04,1.85059E+00
-2.573224E-04,1.80176E+00
-2.573192E-04,1.80176E+00
-2.573160E-04,1.80176E+00
-2.573128E-04,1.84082E+00
-2.573096E-04,1.82129E+00
-2.573064E-04,1.83105E+00
-2.573032E-04,1.82129E+00
-2.573000E-04,1.76270E+00
-2.572968E-04,1.79199E+00
-2.572936E-04,1.82129E+00
-2.572904E-04,1.82129E+00
-2.572872E-04,1.84082E+00
-2.572840E-04,1.84082E+00
-2.572808E-04,1.86035E+00
-2.572776E-04,1.80176E+00
-2.572744E-04,1.83105E+00
-2.572712E-04,1.83105E+00
-2.572680E-04,1.85059E+00
-2.572648E-04,1.84082E+00
-2.572616E-04,1.82129E+00
-2.572584E-04,1.87012E+00
-2.572552E-04,1.85059E+00
